name_with_owner,url,stars,created_at,pushed_at,closed_issues,total_issues,age_years,age_days,merged_pull_requests,releases,days_since_update,primary_language,closed_issues_ratio
electron/electron,https://github.com/electron/electron,122489,2013-04-12T01:47:36+00:00,2026-08-13T13:01:11+00:00,21132,21816,13.34,4871.6,26497,1000,0.13,C++,0.9686
shadcn-ui/ui,https://github.com/shadcn-ui/ui,121250,2023-01-04T12:43:27+00:00,2026-08-13T14:28:08+00:00,3168,4230,3.61,1317.15,1428,116,0.07,TypeScript,0.7489
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,120319,2020-09-28T15:36:08+00:00,2026-08-13T12:22:41+00:00,4220,4298,5.87,2145.03,4198,39,0.16,Rust,0.9819
nodejs/node,https://github.com/nodejs/node,118917,2014-11-26T19:57:11+00:00,2026-08-13T13:59:56+00:00,20048,20753,11.71,4277.84,13148,512,0.09,JavaScript,0.966
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,118316,2013-11-04T01:59:19+00:00,2026-07-29T00:39:06+00:00,0,0,12.77,4665.59,300,3,15.65,Undefined,0.0
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,118198,2016-03-30T15:47:10+00:00,2026-07-26T03:29:02+00:00,0,0,10.37,3788.02,41,0,18.53,Undefined,0.0
microsoft/generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners,117668,2023-06-19T16:28:59+00:00,2026-08-13T03:43:40+00:00,244,244,3.15,1150.99,601,0,0.52,Jupyter Notebook,1.0
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,116354,2025-11-30T11:36:31+00:00,2026-08-13T14:09:46+00:00,134,172,0.7,256.19,137,40,0.09,Python,0.7791
godotengine/godot,https://github.com/godotengine/godot,115658,2014-01-04T16:05:36+00:00,2026-08-13T08:20:37+00:00,49917,63295,12.61,4604.0,43308,71,0.33,C++,0.7886
rust-lang/rust,https://github.com/rust-lang/rust,115489,2010-06-16T20:39:03+00:00,2026-08-13T14:01:14+00:00,52076,63495,16.16,5901.82,73425,153,0.09,Rust,0.8202
mrdoob/three.js,https://github.com/mrdoob/three.js,114495,2010-03-23T18:58:01+00:00,2026-08-13T12:37:17+00:00,13480,13726,16.39,5986.89,15958,177,0.15,JavaScript,0.9821
2dust/v2rayN,https://github.com/2dust/v2rayN,113747,2019-07-30T03:47:24+00:00,2026-08-10T07:09:04+00:00,7093,7119,7.04,2571.52,593,332,3.38,C#,0.9963
d3/d3,https://github.com/d3/d3,113447,2010-09-27T17:22:42+00:00,2026-05-28T14:43:01+00:00,2242,2247,15.88,5798.95,495,194,77.06,Shell,0.9978
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac,110893,2016-07-17T15:33:47+00:00,2026-08-11T17:44:47+00:00,403,559,10.07,3679.03,1239,15,1.94,Swift,0.7209
immich-app/immich,https://github.com/immich-app/immich,110390,2022-02-03T15:56:27+00:00,2026-08-13T14:07:58+00:00,8643,9114,4.52,1652.01,9987,305,0.09,TypeScript,0.9483
tauri-apps/tauri,https://github.com/tauri-apps/tauri,110185,2019-07-13T09:09:37+00:00,2026-08-13T09:06:35+00:00,5130,6411,7.09,2588.29,5662,0,0.3,Rust,0.8002
microsoft/TypeScript,https://github.com/microsoft/TypeScript,110165,2014-06-17T15:28:39+00:00,2026-08-13T01:06:52+00:00,38191,43244,12.16,4440.03,14893,217,0.63,TypeScript,0.8832
axios/axios,https://github.com/axios/axios,109231,2014-08-18T22:30:27+00:00,2026-08-12T16:27:49+00:00,5005,5054,11.99,4377.74,1479,123,0.99,JavaScript,0.9903
browser-use/browser-use,https://github.com/browser-use/browser-use,109086,2024-10-31T16:00:56+00:00,2026-08-11T17:33:21+00:00,1504,1601,1.78,651.01,1888,134,1.94,Python,0.9394
