name_with_owner,url,stars,created_at,pushed_at,closed_issues,total_issues,age_years,age_days,merged_pull_requests,releases,days_since_update,primary_language,closed_issues_ratio
httpie/cli,https://github.com/httpie/cli,38434,2012-02-25T12:39:13+00:00,2024-12-17T17:30:35+00:00,724,911,14.48,5288.42,406,47,609.22,Python,0.7947
google/langextract,https://github.com/google/langextract,38427,2025-07-08T20:46:06+00:00,2026-08-11T15:31:39+00:00,121,196,1.11,406.08,120,18,7.3,Python,0.6173
dotnet/aspnetcore,https://github.com/dotnet/aspnetcore,38374,2014-03-11T06:09:42+00:00,2026-08-18T22:02:06+00:00,35983,39754,12.44,4543.69,19828,296,0.03,C#,0.9051
istio/istio,https://github.com/istio/istio,38357,2016-11-18T23:57:21+00:00,2026-08-18T22:21:32+00:00,21701,22087,9.75,3559.95,30575,448,0.02,Go,0.9825
portainer/portainer,https://github.com/portainer/portainer,38268,2016-05-19T20:15:28+00:00,2026-08-18T13:16:00+00:00,5419,6118,10.25,3743.11,4786,189,0.4,TypeScript,0.8857
umami-software/umami,https://github.com/umami-software/umami,38241,2020-07-17T07:59:00+00:00,2026-08-18T21:16:08+00:00,2190,2232,6.09,2223.62,960,109,0.06,TypeScript,0.9812
frappe/erpnext,https://github.com/frappe/erpnext,38236,2011-06-08T08:20:56+00:00,2026-08-18T21:14:37+00:00,16754,18603,15.2,5550.6,32137,1000,0.06,Python,0.9006
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,38211,2012-06-26T09:52:15+00:00,2026-08-18T12:50:42+00:00,5409,5434,14.15,5166.54,185,11,0.41,Python,0.9954
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,38195,2014-04-25T14:29:47+00:00,2025-06-05T07:06:39+00:00,2898,4965,12.32,4498.35,191,44,439.65,Java,0.5837
impress/impress.js,https://github.com/impress/impress.js,38173,2011-12-28T22:23:19+00:00,2026-07-23T07:05:16+00:00,434,485,14.64,5347.02,125,15,26.65,JavaScript,0.8948
